,Response,Test Stim,Test Speed,Correct,Time,Stim Time
362,right,mirror,16.0,True,0.3161048889160156,0.48571428571428565
363,left,log,24.0,False,0.41546106338500977,0.48571428571428565
364,right,mirror,40.0,True,0.4991779327392578,0.48571428571428565
365,right,log,32.0,True,0.4496002197265625,0.48571428571428565
366,right,mirror,40.0,True,0.4667189121246338,0.48571428571428565
367,left,log,-40.0,True,0.39938807487487793,0.48571428571428565
368,right,mirror,8.0,True,0.39867496490478516,0.48571428571428565
369,right,log,32.0,True,0.4162302017211914,0.48571428571428565
370,left,log,16.0,False,0.3826148509979248,0.48571428571428565
371,right,mirror,8.0,True,0.4831218719482422,0.48571428571428565
372,right,mirror,24.0,True,0.5001449584960938,0.48571428571428565
373,right,mirror,8.0,True,0.4828782081604004,0.48571428571428565
374,right,mirror,32.0,True,0.46598219871520996,0.48571428571428565
375,left,log,-8.0,True,0.5131258964538574,0.48571428571428565
376,right,log,-16.0,False,0.4332139492034912,0.48571428571428565
377,right,mirror,-24.0,False,0.5295109748840332,0.48571428571428565
378,left,mirror,0.0,False,0.39957189559936523,0.48571428571428565
379,right,log,8.0,True,0.5475490093231201,0.48571428571428565
380,left,mirror,16.0,False,0.46546316146850586,0.48571428571428565
381,right,mirror,-24.0,False,0.4995429515838623,0.48571428571428565
382,left,mirror,16.0,False,0.6204352378845215,0.48571428571428565
383,right,log,32.0,True,0.29987287521362305,0.48571428571428565
384,left,log,-40.0,True,0.4663558006286621,0.48571428571428565
385,left,log,-40.0,True,0.5164158344268799,0.48571428571428565
386,right,mirror,-8.0,False,0.7030007839202881,0.48571428571428565
387,left,mirror,-40.0,True,0.6081371307373047,0.48571428571428565
388,left,mirror,16.0,False,7.670046091079712,0.48571428571428565
389,left,log,-40.0,True,0.557762861251831,0.48571428571428565
390,right,mirror,-16.0,False,0.3995678424835205,0.48571428571428565
391,right,mirror,-16.0,False,0.6289989948272705,0.48571428571428565
392,right,mirror,16.0,True,0.44936203956604004,0.48571428571428565
393,left,log,0.0,False,0.4662740230560303,0.48571428571428565
394,right,log,24.0,True,0.4653902053833008,0.48571428571428565
395,right,mirror,-8.0,False,0.43291211128234863,0.48571428571428565
396,left,mirror,40.0,False,0.44862890243530273,0.48571428571428565
397,right,log,0.0,False,0.44950079917907715,0.48571428571428565
398,left,log,-8.0,True,0.400313138961792,0.48571428571428565
399,left,log,-8.0,True,0.7456378936767578,0.48571428571428565
400,left,mirror,0.0,False,5.319462776184082,0.48571428571428565
401,left,log,-32.0,True,0.48235583305358887,0.48571428571428565
402,left,mirror,-16.0,True,0.4992680549621582,0.48571428571428565
403,right,mirror,-8.0,False,0.4825479984283447,0.48571428571428565
404,left,mirror,-16.0,True,0.48181986808776855,0.48571428571428565
405,left,log,-24.0,True,0.4824039936065674,0.48571428571428565
406,left,log,-8.0,True,0.483079195022583,0.48571428571428565
407,left,mirror,-32.0,True,0.4171278476715088,0.48571428571428565
408,left,mirror,-8.0,True,0.4165213108062744,0.48571428571428565
409,right,log,40.0,True,0.5655570030212402,0.48571428571428565
410,left,log,-40.0,True,0.43301916122436523,0.48571428571428565
411,left,mirror,24.0,False,0.4008629322052002,0.48571428571428565
412,right,log,16.0,True,0.48355698585510254,0.48571428571428565
413,left,log,-32.0,True,0.6910059452056885,0.48571428571428565
414,right,mirror,8.0,True,0.5081319808959961,0.48571428571428565
415,left,log,-40.0,True,0.5998330116271973,0.48571428571428565
416,right,mirror,24.0,True,0.62611985206604,0.48571428571428565
417,left,mirror,-24.0,True,0.4666769504547119,0.48571428571428565
418,right,log,40.0,True,0.4334549903869629,0.48571428571428565
419,right,mirror,40.0,True,0.5546379089355469,0.48571428571428565
420,left,log,40.0,False,0.2980008125305176,0.48571428571428565
421,right,log,-16.0,False,0.3823409080505371,0.48571428571428565
422,left,mirror,-40.0,True,0.43352484703063965,0.48571428571428565
423,right,mirror,24.0,True,0.5151839256286621,0.48571428571428565
424,left,log,8.0,False,0.48187685012817383,0.48571428571428565
425,right,log,16.0,True,0.3676319122314453,0.48571428571428565
426,left,log,-16.0,True,0.43353700637817383,0.48571428571428565
427,right,log,32.0,True,0.41704893112182617,0.48571428571428565
428,left,mirror,-40.0,True,0.4163849353790283,0.48571428571428565
429,right,mirror,-40.0,False,0.5746328830718994,0.48571428571428565
